
Localização e custo total para o caso dados_grande_limpo
Resolução do Problema de Weber
Coordenadas: X = 792.91, Y = 83.39
Custo Total: CT = 172029521.20
---

Pontos de Interesse
(xi, yi)	|Qi	| Ci	| di
(134.2, 81.7)	|3.7	| 97.6	| 658.735
(156.9, 499.8)	|1.9	| 55.0	| 760.159
(538.9, 437.6)	|3.9	| 86.4	| 435.899
(117.9, 667.7)	|2.7	| 52.2	| 892.786
(797.6, 17.4)	|2.8	| 11.6	| 66.173
(474.4, 919.4)	|1.2	| 21.4	| 894.624
(11.4, 144.5)	|3.0	| 82.1	| 783.852
(854.6, 938.4)	|2.2	| 74.5	| 857.256
(836.0, 325.1)	|2.9	| 71.1	| 245.497
(65.7, 774.6)	|1.2	| 65.1	| 1003.297
(811.5, 57.9)	|0.6	| 30.9	| 31.550
(98.0, 76.7)	|3.6	| 83.4	| 694.983
(613.1, 467.2)	|0.8	| 54.9	| 423.865
(427.4, 351.5)	|1.9	| 34.3	| 453.265
(170.6, 568.8)	|4.4	| 92.0	| 789.196
(281.5, 775.8)	|0.9	| 91.6	| 860.731
(27.9, 55.1)	|4.7	| 65.4	| 765.496
(278.0, 305.7)	|3.7	| 22.5	| 560.853
(572.0, 108.7)	|1.1	| 64.8	| 222.338
(374.9, 261.2)	|3.9	| 13.1	| 454.292
(351.8, 611.5)	|2.3	| 78.1	| 688.091
(514.6, 208.0)	|3.6	| 18.8	| 304.929
(625.2, 363.4)	|4.6	| 74.1	| 326.377
(821.4, 687.5)	|3.8	| 13.0	| 604.741
(732.3, 911.6)	|1.0	| 39.6	| 830.438
(373.5, 761.7)	|3.2	| 60.8	| 797.529
(991.1, 32.9)	|2.9	| 50.4	| 204.503
(483.6, 725.5)	|2.2	| 16.2	| 712.747
(190.6, 631.3)	|4.1	| 90.4	| 814.233
(858.2, 457.2)	|4.8	| 46.7	| 379.426
(567.5, 385.3)	|3.8	| 24.2	| 376.777
(443.9, 108.8)	|2.7	| 85.1	| 349.906
(629.8, 416.8)	|3.3	| 90.7	| 371.152
(82.7, 630.5)	|4.8	| 19.9	| 896.495
(32.4, 354.5)	|3.1	| 72.0	| 807.399
(925.8, 309.2)	|3.7	| 21.1	| 261.953
(493.1, 19.4)	|3.9	| 41.9	| 306.507
(905.3, 639.6)	|2.9	| 99.8	| 567.447
(59.2, 749.1)	|3.1	| 98.9	| 990.661
(632.1, 245.6)	|3.2	| 79.7	| 228.408
(457.4, 14.6)	|3.5	| 78.2	| 342.464
(299.6, 600.9)	|2.8	| 34.7	| 714.975
(338.1, 786.7)	|3.1	| 56.5	| 837.587
(627.5, 793.0)	|4.5	| 31.5	| 728.586
(897.8, 852.0)	|2.0	| 49.1	| 775.783
(327.4, 278.9)	|1.2	| 65.5	| 504.865
(389.8, 837.5)	|4.5	| 47.8	| 855.150
(972.5, 618.8)	|4.9	| 81.1	| 564.764
(749.5, 487.2)	|3.1	| 28.1	| 406.143
(281.1, 93.7)	|1.8	| 74.3	| 511.923
(441.4, 221.3)	|3.8	| 11.9	| 377.622
(94.3, 466.7)	|0.6	| 39.3	| 796.899
(397.4, 329.1)	|1.3	| 72.6	| 465.578
(852.5, 518.3)	|1.5	| 17.0	| 438.957
(581.8, 482.0)	|3.7	| 55.2	| 451.079
(298.3, 937.0)	|1.1	| 50.7	| 986.571
(799.5, 542.2)	|2.0	| 89.5	| 458.900
(871.7, 277.4)	|1.2	| 64.0	| 209.362
(668.2, 355.8)	|1.7	| 81.6	| 299.577
(37.1, 970.8)	|1.1	| 70.3	| 1165.626
(130.7, 465.2)	|0.7	| 37.2	| 764.371
(648.3, 536.7)	|1.9	| 23.7	| 475.787
(259.5, 793.2)	|0.8	| 14.4	| 887.892
(977.9, 538.7)	|0.6	| 64.6	| 491.452
(928.7, 157.2)	|2.0	| 90.4	| 154.609
(798.8, 619.4)	|1.9	| 43.0	| 536.069
(889.9, 914.2)	|3.4	| 86.9	| 836.495
(626.3, 904.9)	|4.4	| 44.1	| 838.209
(921.0, 589.3)	|1.1	| 22.3	| 521.858
(304.1, 673.4)	|4.2	| 73.1	| 766.177
(975.1, 69.1)	|2.7	| 14.2	| 182.759
(308.7, 414.7)	|5.0	| 62.3	| 586.725
(930.7, 885.8)	|1.9	| 32.8	| 814.112
(263.7, 883.5)	|2.2	| 53.0	| 959.276
(38.5, 725.6)	|4.2	| 62.8	| 990.763
(78.8, 678.8)	|4.9	| 73.8	| 929.760
(692.6, 552.2)	|4.4	| 15.6	| 479.365
(969.4, 492.8)	|4.3	| 88.7	| 445.834
(679.0, 371.9)	|3.4	| 83.6	| 310.150
(180.0, 534.4)	|3.9	| 57.4	| 760.976
(156.9, 987.8)	|0.8	| 85.7	| 1105.624
(883.0, 162.6)	|2.3	| 42.7	| 119.984
(0.2, 357.2)	|4.8	| 54.4	| 838.664
(753.8, 852.6)	|1.3	| 87.1	| 770.162
(719.8, 110.5)	|2.1	| 45.8	| 77.934
(887.4, 332.2)	|2.4	| 52.4	| 266.188
(309.4, 941.6)	|4.8	| 13.9	| 985.060
(776.2, 793.3)	|2.7	| 33.0	| 710.079
(93.6, 216.3)	|1.0	| 35.8	| 711.793
(282.2, 779.1)	|2.5	| 29.0	| 863.022
(502.2, 62.3)	|1.9	| 45.0	| 291.459
(392.9, 693.5)	|4.2	| 78.9	| 729.507
(188.7, 522.0)	|4.3	| 11.9	| 746.604
(741.9, 597.0)	|1.4	| 13.8	| 516.158
(61.9, 637.4)	|3.3	| 29.2	| 917.226
(350.0, 792.9)	|1.3	| 92.4	| 836.403
(804.5, 729.1)	|3.9	| 35.7	| 645.771
(830.5, 16.9)	|0.6	| 25.1	| 76.412
(310.5, 380.5)	|0.9	| 81.5	| 566.500
(147.1, 703.2)	|3.7	| 68.5	| 895.093
(984.4, 407.8)	|4.7	| 28.7	| 376.760
(929.9, 8.4)	|4.3	| 36.1	| 156.213
(403.3, 150.2)	|4.6	| 38.9	| 395.332
(287.5, 776.6)	|2.2	| 25.3	| 857.843
(633.3, 981.3)	|3.2	| 12.0	| 912.019
(961.8, 255.2)	|4.5	| 26.6	| 240.918
(225.6, 818.8)	|3.8	| 54.0	| 928.757
(261.9, 251.6)	|2.9	| 72.9	| 556.997
(563.3, 164.6)	|2.1	| 82.3	| 243.545
(375.5, 278.9)	|3.0	| 85.9	| 460.903
(123.3, 859.4)	|2.9	| 67.4	| 1024.938
(583.8, 132.2)	|4.0	| 13.6	| 214.707
(921.6, 450.8)	|3.0	| 82.8	| 389.322
(409.8, 299.8)	|1.7	| 28.8	| 439.952
(64.6, 253.3)	|1.7	| 76.3	| 747.910
(542.3, 107.1)	|3.7	| 40.1	| 251.740
(283.2, 632.9)	|3.8	| 81.0	| 749.516
(915.9, 586.2)	|0.9	| 72.3	| 517.611
(133.3, 446.0)	|4.6	| 58.3	| 752.702
(88.4, 426.0)	|2.5	| 61.5	| 783.410
(820.1, 109.9)	|4.3	| 51.9	| 38.039
(749.0, 144.4)	|3.6	| 85.8	| 75.128
(383.3, 992.3)	|2.5	| 20.2	| 996.965
(337.2, 357.8)	|3.0	| 18.0	| 531.966
(365.5, 993.0)	|0.6	| 59.6	| 1005.027
(201.9, 421.1)	|1.4	| 94.9	| 680.658
(541.8, 575.7)	|0.7	| 28.4	| 552.708
(735.9, 682.6)	|4.5	| 68.6	| 601.873
(357.1, 942.8)	|2.8	| 92.0	| 963.568
(744.0, 267.5)	|4.1	| 47.4	| 190.502
(260.6, 234.3)	|2.2	| 21.6	| 553.303
(943.4, 436.2)	|0.8	| 25.1	| 383.584
(630.6, 278.5)	|5.0	| 84.6	| 253.851
(776.3, 193.1)	|3.8	| 64.1	| 110.939
(103.5, 928.0)	|3.9	| 67.3	| 1090.242
(866.4, 26.5)	|1.4	| 41.0	| 92.941
(619.0, 202.6)	|0.7	| 37.2	| 210.788
(138.0, 705.5)	|4.6	| 66.2	| 903.272
(375.6, 511.1)	|3.5	| 91.9	| 597.540
(376.9, 298.5)	|1.4	| 29.1	| 468.311
(931.8, 59.7)	|1.0	| 60.0	| 140.933
(790.9, 361.6)	|4.8	| 28.5	| 278.253
(210.6, 185.9)	|0.7	| 94.9	| 591.210
(539.7, 298.6)	|4.5	| 72.5	| 332.335
(494.2, 981.5)	|3.9	| 38.2	| 946.418
(560.3, 254.6)	|1.7	| 43.7	| 288.802
(418.3, 896.7)	|4.2	| 25.8	| 895.376
(551.9, 396.3)	|3.6	| 62.3	| 395.000
(968.3, 347.0)	|1.3	| 56.9	| 316.585
(584.5, 295.1)	|3.5	| 82.7	| 297.075
(925.3, 96.5)	|4.4	| 76.3	| 133.059
(859.5, 575.2)	|2.3	| 18.2	| 496.312
(359.8, 762.2)	|1.3	| 85.5	| 805.160
(744.9, 816.9)	|1.5	| 93.4	| 735.085
(911.9, 467.7)	|4.4	| 68.3	| 402.287
(197.7, 622.8)	|4.9	| 93.2	| 803.265
(364.7, 556.8)	|2.8	| 34.7	| 638.334
(523.6, 376.4)	|2.7	| 82.6	| 397.923
(649.2, 560.5)	|0.6	| 87.1	| 498.255
(792.9, 83.4)	|21434723874.7	| 16.6	| 0.000
(846.6, 114.9)	|1.2	| 27.1	| 62.227
(855.1, 661.5)	|3.8	| 44.1	| 581.410
(222.1, 39.0)	|3.0	| 89.1	| 572.579
(643.1, 728.7)	|3.6	| 53.7	| 662.472
(276.5, 694.8)	|2.1	| 11.5	| 800.286
(793.2, 344.0)	|3.7	| 75.6	| 260.630
(958.7, 673.6)	|4.0	| 16.6	| 613.079
(92.1, 738.0)	|2.0	| 44.1	| 958.968
(364.6, 835.8)	|0.9	| 20.9	| 865.762
(200.3, 131.1)	|1.3	| 63.0	| 594.515
(502.0, 321.2)	|1.6	| 49.8	| 375.738
(43.1, 670.4)	|1.3	| 13.5	| 952.236
(626.8, 538.6)	|3.3	| 46.9	| 484.571
(780.5, 604.8)	|1.1	| 70.4	| 521.590
(102.9, 924.1)	|4.9	| 17.8	| 1087.591
(908.7, 737.9)	|2.3	| 29.2	| 664.640
(427.8, 157.8)	|4.4	| 30.9	| 372.591
(565.9, 343.4)	|3.6	| 87.5	| 345.145
(240.9, 20.0)	|0.6	| 24.2	| 555.673
(236.6, 7.7)	|3.9	| 74.4	| 561.454
(862.3, 541.6)	|3.2	| 94.7	| 463.447
(122.0, 877.1)	|2.7	| 15.1	| 1039.294
(940.8, 848.3)	|2.7	| 67.0	| 779.104
(245.2, 421.0)	|3.3	| 29.0	| 643.430
(560.7, 83.5)	|4.0	| 92.9	| 232.234
(762.9, 10.4)	|4.9	| 72.5	| 78.889
(64.1, 441.7)	|1.9	| 41.2	| 812.094
(589.5, 40.2)	|2.4	| 91.6	| 207.984
(585.1, 97.6)	|2.7	| 54.7	| 208.271
(985.1, 181.6)	|4.9	| 87.4	| 215.832
(852.0, 540.9)	|0.8	| 14.5	| 461.347
(350.6, 432.6)	|1.2	| 29.2	| 563.596
(912.0, 812.9)	|2.1	| 55.7	| 739.115
(666.9, 259.3)	|1.1	| 14.0	| 216.424
(936.5, 148.4)	|4.3	| 93.9	| 157.598
(545.4, 536.8)	|1.8	| 57.3	| 516.566
(612.8, 676.5)	|1.5	| 45.4	| 619.876
(407.5, 393.1)	|3.0	| 48.8	| 494.420
(832.2, 915.5)	|2.0	| 86.5	| 833.002
(693.5, 512.4)	|4.0	| 54.1	| 440.348
(85.6, 699.1)	|0.9	| 67.2	| 937.722
(39.6, 868.2)	|3.6	| 15.4	| 1087.852
(293.3, 876.2)	|2.7	| 41.4	| 937.075
(533.5, 797.9)	|2.6	| 20.7	| 760.149
(451.4, 933.3)	|4.1	| 62.1	| 915.956
(437.6, 226.8)	|0.8	| 99.5	| 383.185
(129.1, 817.8)	|2.1	| 39.2	| 989.940
(284.3, 874.1)	|1.1	| 79.2	| 940.145
(762.8, 602.6)	|1.5	| 60.9	| 520.109
(425.4, 97.3)	|4.5	| 36.6	| 367.761
(92.7, 549.3)	|2.4	| 92.3	| 841.030
(490.0, 874.3)	|3.0	| 31.0	| 846.884
(239.7, 843.1)	|4.2	| 54.7	| 939.763
(882.7, 694.4)	|1.1	| 93.1	| 617.536
(298.5, 849.7)	|3.6	| 34.9	| 911.958
(799.5, 994.4)	|3.5	| 20.3	| 911.046
(953.8, 163.7)	|3.2	| 35.3	| 179.834
(889.9, 911.9)	|4.2	| 89.4	| 834.146
(760.9, 596.0)	|3.6	| 80.0	| 513.641
(474.6, 922.9)	|4.8	| 16.7	| 897.865
(743.0, 324.2)	|4.6	| 22.6	| 245.965
(318.2, 714.7)	|2.8	| 46.9	| 789.924
(641.5, 829.0)	|3.6	| 52.9	| 760.817
(942.2, 118.4)	|2.3	| 37.5	| 153.290
(320.3, 298.1)	|3.0	| 45.9	| 519.101
(949.8, 165.2)	|1.5	| 23.8	| 176.893
(578.3, 839.6)	|0.7	| 24.6	| 786.040
(813.1, 187.4)	|1.9	| 38.4	| 105.908
(311.7, 538.5)	|4.8	| 87.1	| 662.358
(290.9, 436.8)	|4.6	| 47.0	| 613.903
(924.9, 82.7)	|0.6	| 86.1	| 132.006
(727.1, 860.7)	|1.7	| 32.6	| 780.048
(95.4, 98.8)	|1.7	| 54.5	| 697.656
(684.4, 82.9)	|3.8	| 14.4	| 108.494
