xi yi Qi Ci
(433.39, 47.43), 4.02, 50.0
(nan, -500), -10, nan
( 191.061 ,743.470 ) ,   2.523 , 75 
(680.28, 304.96), 3.53, 50.0
(abc, def), ghi, jkl
(94.35; 914.31), 3.03, 50.0
(196.53, 256.19), 4.75
(1000000000000.0, -500), -10, -100
(abc, def), ghi, jkl
(-9999, -500), nan, -100
( 634.101 ,907.057 ) ,   0.704 , 50 
( 583.722 ,84.503 ) ,   1.747 , 100 
(106.29, 843.09), 1.43
THIS IS NOT A VALID DATA LINE
(900.44, 490.13), 3.75
(797.14, 430.73), 2.89
(861.06, 580.47), 2.13, 50.0
( 938.351 ,381.645 ) ,   2.299 , 75 
(6329.73, 9460.50), 24.43, 1000
(9478.04, 8467.67), 56.16, 1
(abc, def), ghi, jkl
THIS IS NOT A VALID DATA LINE
(446.40; 13.56), 3.70, 50.0
(280.94, 769.06), 1.56
(nan, -500), 0, -100
(488.06, 264.54), 1.33
(615.24, 921.44), 1.10, 50.0
(196.85, 382.80), 1.81
(939.48, 457.03), 2.46
(828.67, 731.55), 3.29, 75.0
(714.63, 995.09), 3.94
(-9999, -500), -10, nan
(306.71; 331.73), 2.82, 50.0
(546.88; 379.31), 3.58, 50.0
(34.15, 157.27), 1.52, 100.0
(7678.66, 7868.86), 38.53, 1000
(abc, def), ghi, jkl
(848.13, 648.28), 0.87, 75.0
(569.11, 186.49), 3.83, 100.0
(463.61, 147.94), 4.49, 75.0
(228.14, 721.86), 2.66, 75.0
(727.47; 234.73), 3.58, 50.0
( 382.454 ,828.476 ) ,   4.921 , 50 
( 660.515 ,750.256 ) ,   1.338 , 50 
(144.99, 737.81), 4.07, 75.0
( 190.408 ,929.964 ) ,   3.128 , 100 
(abc, def), ghi, jkl
( 294.942 ,780.126 ) ,   3.700 , 50 
(452.84, 619.11), 1.21
THIS IS NOT A VALID DATA LINE
(-9999, -500), 0, nan
THIS IS NOT A VALID DATA LINE
( 38.215 ,238.289 ) ,   4.464 , 50 
( 263.100 ,109.219 ) ,   2.762 , 100 
( 239.631 ,834.419 ) ,   1.934 , 50 
(1000000000000.0, -500), -10, nan
(8033.89, 5985.35), 22.30, 50
( 176.505 ,315.387 ) ,   2.281 , 100 
THIS IS NOT A VALID DATA LINE
(1000000000000.0, -500), -10, 0
(abc, def), ghi, jkl
(1318.15, 9477.94), 34.87, 1000
(537.45; 285.03), 0.82, 50.0
(1000000000000.0, -500), -10, 0
(nan, nan), 0, nan
(189.38; 178.06), 1.51, 50.0
(201.39, 168.34), 4.35, 75.0
(1000000000000.0, nan), nan, 0
(552.53; 437.27), 2.16, 50.0
(746.71, 318.88), 1.78, 50.0
THIS IS NOT A VALID DATA LINE
(596.36, 210.60), 2.34, 75.0
( 299.443 ,898.311 ) ,   2.782 , 100 
(9748.00, 9611.85), 70.41, 1000
(-9999, nan), -10, -100
(nan, -500), nan, nan
(439.16; 359.72), 0.51, 50.0
(826.81; 540.89), 1.31, 50.0
THIS IS NOT A VALID DATA LINE
(782.51, 778.06), 2.25, 50.0
(442.61, 715.83), 3.10, 100.0
(258.84; 174.04), 1.80, 50.0
(795.88, 340.77), 3.56, 50.0
(abc, def), ghi, jkl
(419.09, 505.13), 3.06, 50.0
(313.88, 410.84), 1.93, 50.0
(1000000000000.0, -500), nan, 0
(359.55; 311.03), 3.94, 50.0
(1000000000000.0, -500), -10, 0
(960.11, 941.68), 0.87
(568.12, 9942.43), 81.42, 1000
( 636.580 ,627.311 ) ,   4.328 , 75 
(396.33, 673.37), 3.01, 100.0
THIS IS NOT A VALID DATA LINE
(85.55, 732.18), 2.37
(-9999, nan), nan, 0
(974.71, 260.80), 2.16, 75.0
(6627.76, 7744.65), 46.74, 1
( 615.948 ,957.518 ) ,   2.588 , 50 
(778.54, 509.15), 1.51, 50.0
(489.66; 721.93), 1.50, 50.0
(92.61, 222.05), 4.48
(6517.51, 2595.92), 80.71, 1000
(540.70, 202.92), 3.20, 75.0
(936.46, 337.98), 1.71
(abc, def), ghi, jkl
(2854.74, 4614.83), 14.79, 1000
(9.88; 29.53), 2.14, 50.0
(577.80, 486.42), 1.66
(-9999, nan), nan, -100
(88.82, 287.22), 0.93, 75.0
(1000000000000.0, nan), nan, -100
(786.59, 340.33), 4.41, 50.0
(583.91, 858.47), 1.28, 50.0
( 805.063 ,153.662 ) ,   3.334 , 75 
(9083.21, 2266.86), 62.58, 50
(abc, def), ghi, jkl
( 704.436 ,123.805 ) ,   3.076 , 50 
(1062.92, 5608.52), 11.14, 1000
(498.58, 893.83), 2.68, 50.0
(268.69, 821.23), 1.21
(nan, -500), -10, -100
THIS IS NOT A VALID DATA LINE
(-9999, -500), -10, nan
(nan, -500), -10, nan
